<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.08.21	25772	25888	25722	25872	7942	0	0
2018.08.22	25872	25878	25676	25767	10505	0	0
2018.08.23	25766	25790	25605	25645	9862	0	0
2018.08.24	25644	25827	25632	25789	9228	0	0
2018.08.27	25840	26067	25834	26053	7060	0	0
2018.08.28	26055	26148	26021	26085	8081	0	0
2018.08.29	26086	26166	26032	26116	8244	0	0
2018.08.30	26117	26147	25998	26073	8698	0	0
2018.08.31	26073	26079	25876	25920	11295	0	0
2018.09.03	25993	26060	25940	26012	6350	0	0
2018.09.04	26011	26049	25801	25929	10049	0	0
2018.09.05	25929	26010	25823	25974	11610	0	0
2018.09.06	25973	26074	25875	25973	12317	0	0
2018.09.07	25973	26051	25812	25852	13331	0	0
2018.09.10	25947	26040	25866	25898	9659	0	0
2018.09.11	25896	26019	25748	25993	10175	0	0
2018.09.12	25992	26148	25942	25963	10956	0	0
2018.09.13	25963	26189	25923	26120	10898	0	0
2018.09.14	26120	26224	26068	26116	10041	0	0
2018.09.17	26099	26184	26073	26114	7826	0	0
2018.09.18	26115	26260	25952	26255	11259	0	0
2018.09.19	26256	26465	26226	26445	9242	0	0
2018.09.20	26444	26681	26406	26651	8717	0	0
2018.09.21	26652	26782	26642	26739	8992	0	0
2018.09.24	26660	26704	26543	26564	8309	0	0
2018.09.25	26565	26669	26504	26513	8360	0	0
2018.09.26	26512	26574	26475	26540	7986	0	0
2018.09.27	26540	26604	26335	26516	11156	0	0
2018.09.28	26516	26517	26329	26492	10679	0	0
2018.10.01	26527	26737	26521	26660	8499	0	0
2018.10.02	26661	26822	26537	26813	10774	0	0
2018.10.03	26812	26951	26729	26923	10030	0	0
2018.10.04	26923	26938	26469	26496	13649	0	0
2018.10.05	26496	26722	26300	26384	15516	0	0
2018.10.08	26473	26528	26216	26348	12545	0	0
2018.10.09	26349	26546	26324	26465	15401	0	0
2018.10.10	26465	26506	25988	26015	17151	0	0
2018.10.11	26012	26025	25162	25442	36695	0	0
2018.10.12	25442	25546	24895	25159	32500	0	0
2018.10.15	25263	25449	25119	25425	19673	0	0
2018.10.16	25425	25734	25197	25690	18175	0	0
2018.10.17	25690	25858	25479	25780	17126	0	0
2018.10.18	25780	25791	25236	25273	21331	0	0
2018.10.19	25272	25607	25263	25474	21285	0	0
2018.10.22	25345	25574	25231	25306	17994	0	0
2018.10.23	25306	25423	24764	25030	25830	0	0
2018.10.24	25030	25354	24900	24969	26051	0	0
2018.10.25	24968	25075	24531	24953	28689	0	0
2018.10.26	24953	25105	24441	24841	33264	0	0
2018.10.29	24841	25034	24510	24535	24016	0	0
2018.10.30	24534	24764	24117	24733	31427	0	0
2018.10.31	24734	25319	24658	25300	21200	0	0
2018.11.01	25299	25364	25060	25330	20435	0	0
